"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00471..D.Glutamine.and.D.glutamate.metabolism","map00471..D.Glutamine.and.D.glutamate.metabolism","269"," 82","195","180","286","143","254","199","769","703","452","509","271","362","270"
"map00472..D.Arginine.and.D.ornithine.metabolism","map00472..D.Arginine.and.D.ornithine.metabolism","4","0","8","0","0","0","5","0","1","6","1","1","0","2","2"
"map00473..D.Alanine.metabolism","map00473..D.Alanine.metabolism","1","0","1","0","7","0","2","0","1","0","5","0","0","2","0"
"map00480..Glutathione.metabolism","map00480..Glutathione.metabolism"," 6685"," 1825"," 5018"," 4954"," 8123"," 3851"," 5663"," 4529","16675","12274"," 9219"," 9678"," 7167"," 7302"," 5452"
"map00500..Starch.and.sucrose.metabolism","map00500..Starch.and.sucrose.metabolism","3469"," 901","2864","2463","3590","1926","3069","2671","8502","7065","5455","6049","3752","4352","3296"
"map00510..N.Glycan.biosynthesis","map00510..N.Glycan.biosynthesis","2029"," 357"," 943","1369","1875"," 978","1774","1179","5110","4272","2924","3889","2135","2647","2104"
"map00511..Other.glycan.degradation","map00511..Other.glycan.degradation"," 486"," 127"," 389"," 369"," 551"," 271"," 450"," 349","1301","1072"," 939"," 945"," 587"," 727"," 531"
"map00513..Various.types.of.N.glycan.biosynthesis","map00513..Various.types.of.N.glycan.biosynthesis","1481"," 271"," 689","1047","1375"," 740","1314"," 899","3716","3111","2124","2887","1588","1975","1541"
"map00514..Other.types.of.O.glycan.biosynthesis","map00514..Other.types.of.O.glycan.biosynthesis","22"," 8","22","19","44","23","39","28","97","78","65","82","49","65","49"
"map00515..Mannose.type.O.glycan.biosynthesis","map00515..Mannose.type.O.glycan.biosynthesis","18"," 5","12","12","28","15","28","18","57","52","39","49","34","35","30"
"map00520..Amino.sugar.and.nucleotide.sugar.metabolism","map00520..Amino.sugar.and.nucleotide.sugar.metabolism"," 4108"," 1099"," 3254"," 3098"," 4401"," 2222"," 3543"," 2716","10066"," 7903"," 6046"," 6347"," 4663"," 4616"," 3635"
"map00521..Streptomycin.biosynthesis","map00521..Streptomycin.biosynthesis"," 573"," 134"," 355"," 400"," 652"," 278"," 485"," 383","1327","1089"," 786"," 844"," 599"," 635"," 531"
"map00522..Biosynthesis.of.12...14..and.16.membered.macrolides","map00522..Biosynthesis.of.12...14..and.16.membered.macrolides","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"map00523..Polyketide.sugar.unit.biosynthesis","map00523..Polyketide.sugar.unit.biosynthesis"," 53"," 14"," 57"," 36"," 62"," 29"," 55"," 35","136","109"," 73"," 88"," 63"," 67"," 51"
"map00524..Neomycin..kanamycin.and.gentamicin.biosynthesis","map00524..Neomycin..kanamycin.and.gentamicin.biosynthesis","141"," 32"," 69","124","190"," 54"," 98"," 66","278","167","139","175","127","105"," 90"
"map00525..Acarbose.and.validamycin.biosynthesis","map00525..Acarbose.and.validamycin.biosynthesis","22","10","46","16","38","11","18","19","60","44","31","36","39","27","22"
"map00531..Glycosaminoglycan.degradation","map00531..Glycosaminoglycan.degradation"," 445"," 110"," 353"," 333"," 441"," 287"," 398"," 302","1147"," 992"," 807"," 797"," 529"," 605"," 433"
"map00532..Glycosaminoglycan.biosynthesis...chondroitin.sulfate...dermatan.sulfate","map00532..Glycosaminoglycan.biosynthesis...chondroitin.sulfate...dermatan.sulfate","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0"
"map00534..Glycosaminoglycan.biosynthesis...heparan.sulfate...heparin","map00534..Glycosaminoglycan.biosynthesis...heparan.sulfate...heparin","3","0","1","2","1","0","0","1","3","5","1","1","1","0","2"
"map00540..Lipopolysaccharide.biosynthesis","map00540..Lipopolysaccharide.biosynthesis","3","0","0","4","6","4","1","2","3","4","7","5","2","4","4"
"map00541..O.Antigen.nucleotide.sugar.biosynthesis","map00541..O.Antigen.nucleotide.sugar.biosynthesis"," 590"," 147"," 444"," 479"," 568"," 340"," 529"," 395","1611","1219"," 856"," 936"," 684"," 693"," 526"
"map00550..Peptidoglycan.biosynthesis","map00550..Peptidoglycan.biosynthesis","15"," 0","12"," 5","27","13","14","10","19","20","22","18","10","22"," 8"
